WinTeam,Resing,EndTurn,AttackCntBlue_0_5,AttackCntRed_0_5,attackCntBlue_6_11,attackCntRed_6_11,AllUnitHP_Blue,AllUnitHP_Red,F_UnitHP_Blue,A_UnitHP_Blue,P_UnitHP_Blue,U_UnitHP_Blue,R_UnitHP_Blue,I_UnitHP_Blue,F_UnitHP_Red,A_UnitHP_Red,P_UnitHP_Red,U_UnitHP_Red,R_UnitHP_Red,I_UnitHP_Red
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
0,False,8,9,11,1,2,0,20,0,0,0,0,0,0,8,1,8,3,0,0
